Date_of_Loss,Total_Cost
2/21/2010 0:00,713142.52
2/22/2010 0:00,1833212.33
2/23/2010 0:00,1087268.32
2/24/2010 0:00,1180864.42
2/25/2010 0:00,1381917.2
2/26/2010 0:00,902125.42
2/27/2010 0:00,300974.64
2/28/2010 0:00,401056.31
3/1/2010 0:00,909674.58
3/2/2010 0:00,1124314.44
3/3/2010 0:00,1518041.25
3/4/2010 0:00,857827.01
3/5/2010 0:00,732523.42
3/6/2010 0:00,395738.21
3/7/2010 0:00,233062.28
3/8/2010 0:00,1122254.15
3/9/2010 0:00,878424.21
3/10/2010 0:00,1020591.45
3/11/2010 0:00,1351863.45
3/12/2010 0:00,831722.6
3/13/2010 0:00,168449.17
3/14/2010 0:00,148999.76
3/15/2010 0:00,1209127.54
3/16/2010 0:00,686868.71
3/17/2010 0:00,865776.75
3/18/2010 0:00,846728.2
3/19/2010 0:00,1141817.54
3/20/2010 0:00,375836.68
3/21/2010 0:00,307026.64
3/22/2010 0:00,745180.14
3/23/2010 0:00,789835.17
3/24/2010 0:00,826037.53
3/25/2010 0:00,751992.06
3/26/2010 0:00,884014.88
3/27/2010 0:00,310377.86
3/28/2010 0:00,372525.41
3/29/2010 0:00,1298050.58
3/30/2010 0:00,998781.96
3/31/2010 0:00,967725.91
4/1/2010 0:00,1274857.2
4/2/2010 0:00,561892.4
4/3/2010 0:00,314883.85
4/4/2010 0:00,279931.93
4/5/2010 0:00,623035.94
4/6/2010 0:00,845314.64
4/7/2010 0:00,1398780.63
4/8/2010 0:00,915152.83
4/9/2010 0:00,1210749.81
4/10/2010 0:00,587210.27
4/11/2010 0:00,316646.96
4/12/2010 0:00,965463.52
4/13/2010 0:00,940515.76
4/14/2010 0:00,916103.06
4/15/2010 0:00,1327279.47
4/16/2010 0:00,1212436.81
4/17/2010 0:00,200315.43
4/18/2010 0:00,527823.06
4/19/2010 0:00,930389.69
4/20/2010 0:00,1008863.27
4/21/2010 0:00,893183.25
4/22/2010 0:00,827930.23
4/23/2010 0:00,1334313.61
4/24/2010 0:00,226993.7
4/25/2010 0:00,423137.29
4/26/2010 0:00,1134682.13
4/27/2010 0:00,1198779.36
4/28/2010 0:00,1392121.48
